epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,9,,0.78125,,,
0,19,,0.75,,,
0,29,,0.78125,,,
0,39,,0.84375,,,
0,49,,0.6875,,,
0,59,,0.875,,,
0,69,,0.75,,,
0,79,,0.78125,,,
0,89,,0.78125,,,
0,99,,0.84375,,,
0,109,,0.84375,,,
0,119,,0.78125,,,
0,129,,0.84375,,,
0,139,,0.75,,,
0,149,,0.84375,,,
0,159,,0.75,,,
0,169,,0.875,,,
0,179,,0.8125,,,
0,189,,0.90625,,,
0,199,,0.8125,,,
0,209,,0.84375,,,
0,219,,0.9375,,,
0,229,,0.78125,,,
0,239,,0.75,,,
0,249,,0.774193525314331,,,
0,249,,,,0.8274999856948853,0.47533828020095825
0,249,0.8303537964820862,,0.4786040484905243,,
1,259,,0.84375,,,
1,269,,0.84375,,,
1,279,,0.90625,,,
1,289,,0.90625,,,
1,299,,0.90625,,,
1,309,,0.9375,,,
1,319,,0.90625,,,
1,329,,0.84375,,,
1,339,,0.90625,,,
1,349,,0.78125,,,
1,359,,0.96875,,,
1,369,,0.75,,,
1,379,,0.75,,,
1,389,,0.8125,,,
1,399,,0.9375,,,
1,409,,0.9375,,,
1,419,,0.8125,,,
1,429,,0.90625,,,
1,439,,0.8125,,,
1,449,,0.96875,,,
1,459,,0.875,,,
1,469,,0.84375,,,
1,479,,0.8125,,,
1,489,,0.78125,,,
1,499,,0.7419354915618896,,,
1,499,,,,0.847000002861023,0.4590369164943695
1,499,0.8358544707298279,,0.4698594808578491,,
2,509,,0.84375,,,
2,519,,0.78125,,,
2,529,,1.0,,,
2,539,,0.875,,,
2,549,,0.875,,,
2,559,,0.78125,,,
2,569,,0.875,,,
2,579,,0.78125,,,
2,589,,0.78125,,,
2,599,,0.84375,,,
2,609,,0.75,,,
2,619,,0.96875,,,
2,629,,0.90625,,,
2,639,,0.6875,,,
2,649,,0.875,,,
2,659,,0.8125,,,
2,669,,0.8125,,,
2,679,,0.78125,,,
2,689,,0.875,,,
2,699,,0.90625,,,
2,709,,0.875,,,
2,719,,0.75,,,
2,729,,0.8125,,,
2,739,,0.90625,,,
2,749,,0.7419354915618896,,,
2,749,,,,0.8454999923706055,0.4619990885257721
2,749,0.8391048908233643,,0.46983668208122253,,
