z,vz,Rcyl,phi,vRcyl,vphi,age,mass,feh,oh,ch,mgh,ofe,cfe,mgfe,IsMigratorInt
0.361,-92.909,1.236,341.267,-82.221,166.156,6.961,6600.002,-0.253,0.194,0.053,0.026,0.448,0.306,0.279,0
-0.162,24.089,1.525,300.646,42.443,257.005,1.891,5529.467,0.141,0.61,0.52,0.366,0.47,0.379,0.225,0
-0.369,-21.36,6.925,162.806,-85.396,283.916,0.963,8819.483,0.046,0.517,0.4,0.283,0.471,0.355,0.238,1
-0.33,-26.248,5.832,0.303,175.2,128.138,1.231,6918.149,0.129,0.596,0.503,0.351,0.466,0.374,0.222,0
-0.243,304.173,0.292,13.944,286.408,-28.238,8.985,6125.553,-0.536,-0.069,-0.262,-0.23,0.467,0.274,0.306,0
-0.491,20.028,1.952,166.58,-168.318,232.588,3.114,5463.814,0.15,0.607,0.52,0.37,0.456,0.37,0.22,0
0.115,-66.68,0.298,302.655,-347.573,90.738,8.579,5310.924,-0.559,-0.088,-0.293,-0.251,0.471,0.266,0.309,0
-0.149,-31.339,3.284,130.116,-95.305,218.321,3.325,7443.715,0.072,0.528,0.414,0.306,0.456,0.342,0.234,0
-0.03,-18.356,0.628,260.462,64.519,255.12,2.252,9167.174,0.119,0.59,0.496,0.349,0.471,0.377,0.23,0
-0.464,8.141,9.424,192.574,72.472,251.184,1.217,5633.646,0.032,0.498,0.381,0.268,0.466,0.349,0.235,1
0.002,-118.284,0.188,15.119,136.698,50.39,2.412,5428.453,0.2,0.649,0.568,0.402,0.449,0.368,0.202,0
-0.016,-118.514,3.263,174.62,75.468,381.319,4.758,5166.327,-0.237,0.215,0.049,0.03,0.452,0.286,0.267,1
-0.099,-347.709,2.494,148.429,-191.344,150.395,9.714,5684.441,-0.631,-0.165,-0.364,-0.326,0.467,0.267,0.306,0
0.108,-1.564,2.89,198.552,-25.08,238.178,0.685,7711.651,0.213,0.668,0.602,0.41,0.455,0.39,0.198,0
0.43,-28.696,1.983,285.424,69.268,50.233,4.841,6871.826,-0.006,0.442,0.305,0.242,0.448,0.31,0.248,0
-0.052,148.783,1.437,183.405,-46.977,6.32,6.813,5230.426,-0.255,0.193,0.038,0.023,0.448,0.293,0.279,0
0.484,-89.839,1.372,100.222,57.712,56.743,11.443,4300.951,-1.172,-0.67,-1.012,-0.844,0.502,0.161,0.328,0
